Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Screen_Full HD,Screen_IPS Panel
0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.527392,899.76,False,True
1,Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.850164,583.28,True,False
2,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.850164,870.32,True,False
3,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6896363999999995,1144.48,False,True
4,HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.210824199999999,770.0400000000001,True,False
5,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.850164,934.72,True,False
6,HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.629702,1027.64,True,False
7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.850164,796.72,False,True
8,Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.070625999999999,747.0400000000001,True,False
9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.850164,982.5600000000001,False,True
10,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.6958405999999995,897.0,True,False
11,HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.210824199999999,513.36,True,False
12,Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.40924,484.84000000000003,True,False
13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7478539999999994,1027.64,True,False
14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0864679999999995,1099.4,True,False
15,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1005932,805.9200000000001,True,False
16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0864679999999995,1115.96,False,True
17,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.850164,1016.6,True,False
18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.144685599999999,1280.64,False,True
19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.5935305999999994,1004.6400000000001,True,False
20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.0344546,816.96,False,True
21,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.321055199999999,700.12,True,False
